Horizon started successfully.
[2019-05-13 22:34:22][1] Processing: App\Jobs\ProcessJournal
[2019-05-13 22:48:45][1] Processed:  App\Jobs\ProcessJournal
[2019-05-13 22:48:49][2] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:50][2] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:50][3] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:51][3] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:51][4] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:52][4] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:52][5] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:52][5] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:52][6] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:53][6] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:53][7] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:53][7] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:53][8] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:54][8] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:54][9] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:55][9] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:55][10] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:55][10] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:55][11] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:56][11] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:56][12] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:57][12] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:57][13] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:57][13] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:57][14] Processing: App\Jobs\ProcessDois
[2019-05-13 22:48:59][14] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:48:59][15] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:00][15] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:00][16] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:01][16] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:01][17] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:01][17] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:01][18] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:02][18] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:02][19] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:03][19] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:03][20] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:04][20] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:04][21] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:04][21] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:04][22] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:05][22] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:05][23] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:06][23] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:06][24] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:06][24] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:06][25] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:07][25] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:07][26] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:07][26] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:07][27] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:08][27] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:08][28] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:09][28] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:09][29] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:10][29] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:10][30] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:10][30] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:10][31] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:11][31] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:11][32] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:11][32] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:11][33] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:12][33] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:12][34] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:13][34] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:13][35] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:13][35] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:13][36] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:14][36] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:14][37] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:15][37] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:15][38] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:15][38] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:15][39] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:16][39] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:16][40] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:17][40] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:17][41] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:17][41] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:17][42] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:18][42] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:18][43] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:19][43] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:19][44] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:19][44] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:19][45] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:20][45] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:20][46] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:20][46] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:21][47] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:21][47] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:21][48] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:22][48] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:22][49] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:22][49] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:22][50] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:23][50] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:23][51] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:24][51] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:24][52] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:25][52] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:25][53] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:25][53] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:25][54] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:26][54] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:26][55] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:26][55] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:26][56] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:27][56] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:27][57] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:28][57] Processed:  App\Jobs\ProcessDois
